film_name,year,song_name,singer(s),music_director,lyricist,duration
Bhool Bhulaiyaa 2,2022,Bhool Bhulaiyaa 2 (Title Track) (co-composed by Tanishk Bagchi ),"Neeraj Shridhar , Mellow D, Bob","Songs:, Pritam, Tanishk Bagchi, Background score:, Sandeep Shirodkar","Mandy Gill, Sameer",3:31
Bhool Bhulaiyaa 2,2022,Hum Nashe Mein Toh Nahin,"Arijit Singh , Tulsi Kumar","Songs:, Pritam, Tanishk Bagchi, Background score:, Sandeep Shirodkar",Amitabh Bhattacharya,3:58
Bhool Bhulaiyaa 2,2022,De Taali,"Yo Yo Honey Singh, Armaan Malik , Shashwat Singh","Songs:, Pritam, Tanishk Bagchi, Background score:, Sandeep Shirodkar","Amitabh Bhattacharya, Yo Yo Honey Singh",3:30
Bhool Bhulaiyaa 2,2022,Mere Dholna  (Arijit Version),Arijit Singh,"Songs:, Pritam, Tanishk Bagchi, Background score:, Sandeep Shirodkar",Sameer,6:04
Bhool Bhulaiyaa 2,2022,Ami Je Tomar Tandav,Arijit Singh,"Songs:, Pritam, Tanishk Bagchi, Background score:, Sandeep Shirodkar",Sameer,2:23
Bhool Bhulaiyaa 2,2022,Ami Je Tomar Tandav (Film Version),Tushar Joshi,"Songs:, Pritam, Tanishk Bagchi, Background score:, Sandeep Shirodkar",Sameer,2:24
Bhool Bhulaiyaa 2,2022,Ami Je Tomar (Kiara's Scare),"Shreya Ghoshal , Arijit Singh","Songs:, Pritam, Tanishk Bagchi, Background score:, Sandeep Shirodkar",Sameer,1:38
Bhool Bhulaiyaa 2,2022,Mere Dholna (The Sisters),Shreya Ghoshal,"Songs:, Pritam, Tanishk Bagchi, Background score:, Sandeep Shirodkar",Sameer,2:25
Bhool Bhulaiyaa 2,2022,Mere Dholna (Revisited),Shreya Ghoshal,"Songs:, Pritam, Tanishk Bagchi, Background score:, Sandeep Shirodkar","Saaveri Verma, Sameer",2:32
Bhool Bhulaiyaa 2,2022,Ami Je Tomar ( Kartik X Vidya ),"Arijit Singh, Shreya Ghoshal","Songs:, Pritam, Tanishk Bagchi, Background score:, Sandeep Shirodkar",Sameer,6:12
Gangubai Kathiawadi,2022,Meri Jaan,Neeti Mohan,"Songs:, Sanjay Leela Bhansali, Score:, Sanchit Balhara and Ankit Balhara",Kumaar,3:58
Gangubai Kathiawadi,2022,Dholida,"Janhvi Shrimankar, Shail Hada","Songs:, Sanjay Leela Bhansali, Score:, Sanchit Balhara and Ankit Balhara","Kumaar, Bhojak Ashok Anjam",2:59
Gangubai Kathiawadi,2022,Jab Saiyaan,Shreya Ghoshal,"Songs:, Sanjay Leela Bhansali, Score:, Sanchit Balhara and Ankit Balhara",A. M. Turaz,4:07
Gangubai Kathiawadi,2022,Shikayat,Archana Gore,"Songs:, Sanjay Leela Bhansali, Score:, Sanchit Balhara and Ankit Balhara",A. M. Turaz,4:09
Gangubai Kathiawadi,2022,Muskurahat,Arijit Singh,"Songs:, Sanjay Leela Bhansali, Score:, Sanchit Balhara and Ankit Balhara",A. M. Turaz,4:37
Gangubai Kathiawadi,2022,Jhume Re Gori,"Archana Gore, Tarannum Jain, Dipti Rege, Aditi Pradhudesai","Songs:, Sanjay Leela Bhansali, Score:, Sanchit Balhara and Ankit Balhara",Kumaar,2:50
Jugjugg Jeeyo,2022,Jugjugg Jeeyo,Tanishk Bagchi,Tanishk Bagchi,Tanishk Bagchi,2:22
Jugjugg Jeeyo,2022,The Punjaabban Song,"Gippy Grewal , Zahrah S Khan , Tanishk Bagchi , Romy & Abrar-ul-Haq","Tanishk Bagchi, Abrar-Ul-Haq","Tanishk Bagchi, Abrar-ul-Haq",3:19
Jugjugg Jeeyo,2022,Rangisari,"Kanishk Seth, Kavita Seth","Kanishk Seth , Kavita Seth",Traditional,3:43
Jugjugg Jeeyo,2022,Tum Jo Gaye (Male Version),Pozy,Pozy,Ginny Diwan,2:24
Jugjugg Jeeyo,2022,Rok Leyy,Simiran Kaur Dhadli,Tanishk Bagchi,Dhruv Yogi,2:52
Jugjugg Jeeyo,2022,Nain Ta Heere,"Guru Randhawa , Asees Kaur",Vishal Shelke,Ghulam Mohd. Khavar,3:36
Jugjugg Jeeyo,2022,Tum Jo Gaye (Female Version),Swati Sharma,Pozy,Ginny Diwan,2:25
Jugjugg Jeeyo,2022,Duppata,"Diesby, Shreya Sharma",Diesby,"Diesby, Shamsher Sandhu",3:40
Jugjugg Jeeyo,2022,Jaise Savan,"Tanishk Bagchi, Zahrah S Khan",Tanishk Bagchi,Tanishk Bagchi,3:43
Jugjugg Jeeyo,2022,Nain Ta Heere (Lisa Version),"Lisa Mishra , Guru Randhawa",Vishal Shelke,"Ghulam Mohd. Khavar, Kumaar",3:33
Vikram Vedha,2022,Alcoholia,"Snigdhajit Bhowmik, Ananya Chakraborty",Vishal–Shekhar,,3:51
Vikram Vedha,2022,Bande,Sivam,Sam C. S.,,3:13
Vikram Vedha,2022,Oo Saahiba,Shekhar Ravjiani,Vishal–Shekhar,,3:54
Vikram Vedha,2022,Yaara,Armaan Malik,Sam C. S.,,3:52
Ram Setu,2022,Whatte Fun,"Vishal Dadlani , Neeti Mohan , Arivu",Ajay-Atul,Irshad Kamil,3:37
Ram Setu,2022,Jai Shree Ram,Vikram Montrose,Vikram Montrose,Shekhar Astitwa,3:59
Ram Setu,2022,Bahut Din Beete,"Ved Sharma, Raja Hasan",Ved Sharma,Manoj Muntashir,3:55
Ram Setu,2022,Om Namah Shivaay,"Krishna Das , Priceless",Dr. Zeus,Traditional,18:07
36 Farmhouse,2022,Mind Your Business,Hariharan,Subhash Ghai,Subhash Ghai,3:44
36 Farmhouse,2022,Mohabbat,Sonu Nigam,Subhash Ghai,Subhash Ghai,4:07
Hai Tujhe Salaam India,2022,Khamosiyan,Darshan Raval,Sagar Bhatia,Sagar Bhatia Dharmendra Ehsas,3:35
